,name,manufacturer,product,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
59,viol********,쁘리엘르,침구,2021.06.30,5,아이가 홑이불을 좋아하는데 새로 구입해봤어요. 혼자만 덮겠다고 난리네요^^ 시원해보이고 공룡그림도 귀여워요^^ 잘 쓰겠습니다!!,0,71,4,0,0
60,ems9***,쁘리엘르,침구,2021.06.26,5,느낌이 부들 부들하니 좋아요. 간절기에 덮기 좋습니다. 마감처리도 잘 되어 있고요. 그런데 너무 부들부들하니 여러번 세탁하면 찢어지지 않을까 좀 걱정은 되네요.^^ 영상으로 찍히기는 너무 어두운 핑크로 찍힌것 같네요.,0,121,2,0,0
61,happy,쁘리엘르,침구,2021.07.03,5,"부드럽게 가공된 피치스킨이라 촉감이 좋아요! 상상했던 그대로이고, 베개커버랑 세트 구성이라 선택이 편했어요. 색상도 제가 쓰던 이불과 같은 색이라 좋네요",0,85,0,0,0
62,yjsh***,쁘리엘르,침구,2021.06.18,5,패드 깔끔 탄탄한게 아주 만족스러워요. 색상도 사진과 비슷해서 귀엽네요. 고정할 수 있는 고무줄도 달려있고 시원한 재질이라 좋습니다,0,73,0,0,0
63,j270**,쁘리엘르,침구,2021.07.02,5,어머니가 오프라인에서 12만원짜리만큼 좋다고 하시네요 너무 시원하고 좋아요,0,41,0,0,0
64,alsl**,쁘리엘르,침구,2021.07.03,5,싱글침대와 셋트루 사려구 구매햇어요ㅎㅎ 베겟님이 3개ㅋㅋ 옵션고르는데 조금 햇갈렷지만 패드셋트하믄 이불+베겟님+패드가 다 오네요!!,0,73,2,0,0
65,블루베리15,쁘리엘르,침구,2021.07.02,5,쁘리엘르 냉감 시어서커 패드 핑크 구매 색상은 핑크라기보다는 엄청연한 베이비핑크 느낌??? 매트리스에 고정 가능한 고무가 달려있어 패드가 밀리지 않아 너무 편합니다!,0,92,0,2,0
66,ksk7*****,쁘리엘르,침구,2021.07.13,5,한여름 밤새 에어컨 사용해야 할때 이정도 두께가 좋더라구요. 겉면 재질도 가벼운 느낌이라 좋아요. 몇달 사용해봐도 솜 꺼짐이나 뭉침도 거의 없어서 편하게 쓰고 있어요.,0,93,0,0,0
67,limw*****,쁘리엘르,침구,2021.06.16,5,슈퍼싱글과 퀸사이즈 두개다 구입했는데 색상도 예쁘고 재질도 좋아요. 싸게 아주 잘삿어요.,0,49,0,0,0
68,sj09************,쁘리엘르,침구,2021.06.16,5,쁘리엘르 이불 몇번 구매 했는데 나쁘지 않더라구요 아이방 여름용이불 필요해서 딜떴길래 구매~ 생각보다 좋아서 더 사야겠어요^^,0,70,3,2,0
69,유니마미,쁘리엘르,침구,2021.06.19,5,무난해요. 빨래해보니 변형도 없고 매트리스와 잘 맞아요. 약간 마감이 안좋은 부분이 있지만 실밥 나온부분들 정리해주니 괜찮아요.,0,71,0,0,0
70,skys****,쁘리엘르,침구,2021.07.12,5,아이꺼부터 먼저 구매했었는데..그때도 핑크라고해서 샀지만 베이지..이번엔 레몬옐로우를 샀지만 연두색.. 색을 다시 작성하셔야할듯^^; 여름엔 시원할거같아서 패드고정밴드도 있어서 좋네요~,0,103,3,0,0
71,tkfk******,쁘리엘르,침구,2021.06.17,5,딜떴을때 샀어요~ 퀸사이즈로 두세트입니다. 패드도 바닥에 미끄럼방지 다되어있네요 베개피까지 있어서 좋습니다,0,59,1,0,0
72,유니마미,쁘리엘르,침구,2021.06.16,5,너무 만족해요. 아이들 베개로 쓸려고 샀는데 아이들도 좋아하네요. 저렴한 가격에 좋은제품 감사해요.,0,55,0,0,0
73,shin****,쁘리엘르,침구,2021.07.02,5,이불이 고급스러우면서도 깔끔합니다. 가격대비 상품 질이 너무 좋네요 여름이불 필요하면 여기서 또 사야 겠어요,0,60,0,0,0
74,wbsm****,쁘리엘르,침구,2021.06.23,5,동영상보다 조금 더 핑크빛이돌아요~ 원래 이불이랑 베개커버만 살까하다가 저렴하게 구매할수있어서 패드까지같이샀어요 ~ 상큼하니 예쁘네요 ㅎㅎ,0,77,2,0,0
