,product_review_index,product_index,category_index,review_date,review_rating,newline_count,review_len,special_char_count,manufacturer_count,product_count,review_score,c1
89582,9580,94257,86123,2021-06-26,5,35,1089,125,6,3,99,14.389348025711662
89590,9581,94257,86123,2021-06-08,5,85,1482,39,10,6,99,1.1180836707152497
89598,9582,94257,86123,2021-06-03,5,34,1024,96,4,2,99,9.01953125
89636,9587,94257,86123,2021-04-18,5,97,3158,373,44,12,99,44.71469284357188
89644,9588,94257,86123,2021-04-13,5,63,1369,39,0,0,99,1.112490869247626
89672,9592,94257,86123,2021-03-27,5,106,1448,151,2,0,99,15.75
89687,9594,94257,86123,2021-03-25,5,105,1407,134,2,0,99,12.76545842217484
89693,9595,94257,86123,2021-03-10,5,22,1706,34,24,13,99,1.1143024618991795
89715,9598,94257,86123,2021-02-19,5,60,1031,32,4,4,99,1.0242483026188167
89723,9599,83657,74740,2021-06-16,5,125,1648,45,4,4,99,1.2481796116504855
89754,9603,94257,86123,2021-05-24,5,38,898,34,0,0,99,1.289532293986637
89762,9604,94257,86123,2021-05-24,5,27,508,43,2,0,99,3.6496062992125986
89783,9607,94257,86123,2021-05-30,5,23,457,37,4,0,99,3.0328227571115973
89800,9609,94257,86123,2020-10-21,5,64,1731,112,8,1,99,7.284228769497401
89808,9610,94257,86123,2020-10-14,5,36,1015,43,4,1,99,1.838423645320197
89836,9614,94257,86123,2021-03-18,5,26,598,35,0,0,99,2.051839464882943
89914,9625,94257,86123,2021-03-01,5,25,544,33,0,0,99,2.005514705882353
90642,9726,94257,86123,2021-01-19,5,72,1062,51,2,1,99,2.4538606403013183
91848,9867,127092,118167,2019-03-17,5,11,271,78,0,0,3,22.457564575645755
92254,9919,127092,118167,2020-03-18,5,8,192,49,0,1,99,12.515625
92612,9959,70425,61422,2021-04-28,5,33,666,66,0,2,99,6.548048048048048
92687,9967,70425,61422,2019-01-03,5,42,877,63,0,0,99,4.5279361459521095
92697,9968,70425,61422,2019-01-05,5,79,1603,42,0,20,99,1.3505926388022458
93248,10026,70425,61422,2019-01-18,5,28,512,36,0,0,99,2.53515625
94452,10159,142768,140449,2017-07-25,5,61,957,40,0,0,99,1.6739811912225706
94488,10164,142768,140449,2017-06-26,5,45,676,32,0,3,99,1.529585798816568
94533,10170,142768,140449,2017-10-25,5,17,462,57,0,0,99,7.036796536796537
94864,10214,51444,42619,2017-09-08,5,79,1915,92,0,5,99,4.433420365535248
94932,10222,142768,140449,2017-12-09,5,22,485,68,0,0,99,9.538144329896907
95135,10247,142768,140449,2017-07-16,5,21,394,60,0,0,99,9.142131979695431
96265,10390,51444,42619,2021-01-20,5,20,490,51,0,0,99,5.312244897959184
96283,10392,142768,140449,2017-12-19,5,22,412,60,0,0,99,8.742718446601941
96300,10395,51444,42619,2017-08-07,5,35,794,81,0,6,99,8.309823677581864
96594,10434,70425,128219,2020-10-01,5,20,445,28,6,4,99,1.8786516853932584
96756,10459,70425,128219,2018-12-23,5,51,415,28,0,8,99,2.0457831325301203
96761,10460,51444,42619,2020-03-20,5,49,1520,42,0,7,99,1.193421052631579
99572,10840,188039,177867,2020-10-19,5,17,1017,50,4,7,99,2.52212389380531
99804,10877,188039,177867,2021-05-02,5,2,333,30,8,8,99,3.0870870870870872
100502,10980,16169,6665,2020-12-09,5,69,850,29,0,0,99,0.991764705882353
100646,10998,16169,6665,2020-03-16,5,51,1806,331,0,0,99,60.66611295681063
100956,11038,16169,6665,2021-02-23,5,0,405,66,0,0,99,10.760493827160493
101403,11086,84837,74740,2020-02-11,5,34,629,39,2,1,99,2.426073131955485
101445,11091,84837,74740,2019-08-26,5,21,496,41,0,2,99,3.399193548387097
103945,11404,168605,159152,2021-04-08,5,104,2033,159,0,0,99,12.436301032956223
103968,11407,168605,159152,2021-05-30,5,33,697,33,2,1,99,1.569583931133429
104074,11422,168605,159152,2021-06-19,5,53,1636,34,4,0,99,0.7169926650366748
105028,11547,144234,140449,2017-02-22,5,90,937,179,12,0,99,34.35005336179296
105036,11548,144234,140449,2017-03-17,5,111,968,144,16,0,99,21.68698347107438
105049,11550,96199,86123,2021-07-07,5,70,1017,24,0,19,99,0.9223205506391348
105057,11551,96199,86123,2021-07-07,5,101,711,36,6,9,99,1.9873417721518987
105059,11551,144234,140449,2017-11-17,5,67,882,266,16,3,99,80.52267573696145
105075,11553,144234,140449,2018-02-13,5,62,773,260,6,3,99,87.50970245795601
105083,11554,144234,140449,2017-06-26,5,89,800,275,8,2,99,94.61625
105089,11555,96199,86123,2021-06-04,5,24,603,40,4,7,99,2.7611940298507465
105104,11557,96199,86123,2021-06-05,5,109,677,43,6,9,99,2.9039881831610046
105106,11557,144234,140449,2018-11-13,5,50,657,192,12,2,99,56.334855403348556
105129,11560,144234,140449,2018-05-14,5,47,654,252,10,2,99,97.25993883792049
105142,11562,96199,86123,2021-02-22,5,66,1098,29,4,26,99,1.3961748633879782
105156,11564,96199,86123,2021-02-16,5,79,1664,34,8,29,99,1.2385817307692308
105198,11569,144234,140449,2020-08-26,5,210,1355,121,2,1,99,10.808856088560885
105358,11592,96199,86123,2020-03-05,5,34,679,66,2,6,99,6.474226804123711
105384,11596,96199,86123,2021-03-08,5,106,1932,164,0,16,99,14.054347826086957
105396,11598,96199,86123,2020-07-21,5,29,571,63,2,3,99,6.973730297723293
105467,11609,96199,86123,2020-09-05,5,24,506,42,2,7,99,3.590909090909091
105473,11610,96199,86123,2020-02-16,5,26,523,55,2,5,99,5.839388145315487
105480,11611,96199,86123,2020-03-29,5,26,523,55,2,3,99,5.808795411089866
105486,11612,96199,86123,2021-05-16,5,24,190,31,2,1,98,5.08421052631579
105498,11614,96199,86123,2019-12-07,5,28,500,52,4,10,99,5.64
105511,11616,96199,86123,2020-03-21,5,25,490,50,4,4,99,5.16734693877551
105525,11618,96199,86123,2020-02-04,5,23,483,60,2,8,99,7.594202898550725
105545,11621,96199,86123,2020-01-15,5,25,463,45,2,6,99,4.460043196544277
105577,11626,96199,86123,2020-11-20,5,31,679,35,4,7,99,1.8998527245949925
105583,11627,96199,86123,2020-04-15,5,22,435,53,2,6,99,6.549425287356322
105604,11630,96199,86123,2020-01-01,5,21,403,37,2,3,99,3.4292803970223327
105612,11631,96199,86123,2021-03-08,5,53,887,106,0,4,99,12.686583990980834
105673,11638,96199,86123,2020-05-28,5,40,522,49,0,6,99,4.670498084291188
105709,11642,96199,86123,2020-02-27,5,18,361,32,2,6,99,2.9473684210526314
105736,11645,96199,86123,2020-09-17,5,17,337,28,6,5,99,2.507418397626113
